0,Supercup,0,Olympic Tournament,2017-12-3,Viana do Castelo,9:53:30
1,Exhibition,0,Worlds Championship,2018-9-25,Braga,13:15:35
2,Grand Slam,3,Grand Prix,2018-11-3,Setúbal,11:39:4
3,Hopman Cup,3,SEHA League,2015-11-15,Vila Nova de Famalicão,10:33:38
4,European Championship,5,Tournament of Champions,2015-8-20,Odivelas,9:55:27
5,Hopman Cup,1,Supercup,2016-4-17,Setúbal,11:45:6
6,Grand Slam,0,Grand Prix,2017-9-14,Amadora,16:42:33
7,SEHA League,1,Masters,2017-3-14,Leiria,17:55:34
8,Grand Slam,1,Hopman Cup,2018-5-17,Setúbal,14:45:15
9,European Championship,4,Supercup,2018-7-2,Portimão,16:58:16
10,Tournament of Champions,1,Grand Slam,2016-3-12,Queluz,17:0:52
11,Exhibition,1,Grand Prix,2015-4-11,Funchal,12:46:31
12,Tournoi de Paris,7,Worlds Championship,2015-2-22,Vila do Conde,16:44:31
13,Super Globe,0,Fed Cup,2016-12-24,Coimbra,11:48:23
14,Grand Prix,7,Supercup,2018-1-6,Aveiro,9:23:36
15,Tournament of Champions,7,Masters,2016-9-12,Portimão,11:40:26
16,Adriatic League,0,SEHA League,2018-4-6,Guarda,10:20:51
17,Exhibition,6,Olympic Tournament,2015-12-4,Viana do Castelo,11:7:1
18,Grand Prix,5,Fed Cup,2016-6-26,Porto,16:14:39
19,Super Globe,5,Fed Cup,2018-8-26,Figueira da Foz,11:45:41
20,Grand Slam,5,Tournament of Champions,2016-11-4,Guarda,12:29:26
21,Tournament of Champions,8,Hopman Cup,2018-4-20,Setúbal,9:43:9
22,Grand Prix,8,Worlds Championship,2016-11-19,Figueira da Foz,12:39:1
23,Olympic Tournament,2,Worlds Championship,2018-7-9,Faro,11:13:33
24,Masters,5,Masters,2015-2-3,Amadora,16:17:36
25,Super Globe,5,Adriatic League,2015-2-6,Agualva-Cacém,15:48:44
26,Exhibition,0,European Championship,2016-8-1,Queluz,13:50:39
27,Tournoi de Paris,9,European Championship,2017-4-4,Almada,11:35:18
28,Tournoi de Paris,1,Masters,2018-9-27,Évora,8:50:48
29,Tournoi de Paris,5,Supercup,2016-6-21,Vila Nova de Gaia,9:7:9
