10000096,18,2017-7-1,15:8:17
10000096,7,2017-1-13,14:17:14
10000087,17,2018-5-22,16:21:22
10000055,24,2018-10-2,10:11:33
10000076,16,2016-3-25,9:41:10
10000020,27,2017-2-20,8:17:34
10000058,11,2016-1-25,12:33:9
10000057,12,2018-3-27,17:20:2
10000000,9,2016-3-8,17:45:51
10000073,3,2016-1-21,9:48:15
10000012,6,2017-2-2,10:34:58
10000075,17,2016-12-1,15:11:20
10000012,27,2015-7-1,14:52:26
10000032,11,2017-9-24,10:36:30
10000076,0,2017-2-24,10:56:46
10000003,25,2017-1-23,13:16:57
10000097,18,2016-4-23,11:21:9
10000023,7,2017-3-10,8:59:47
10000010,19,2015-9-3,13:6:33
10000039,17,2015-12-15,13:23:3
10000061,14,2017-9-23,17:58:28
10000076,1,2016-9-19,10:23:37
10000006,15,2015-1-10,17:42:59
10000006,24,2016-3-3,10:40:56
10000074,27,2018-2-26,11:45:13
10000050,19,2015-1-26,9:14:30
10000000,8,2017-8-1,11:50:35
10000072,22,2018-5-16,16:7:8
10000039,0,2015-4-13,10:24:22
10000089,25,2015-2-4,16:41:28
10000012,4,2017-9-17,9:0:50
10000089,3,2017-2-27,12:20:29
10000040,7,2017-5-23,17:1:48
10000013,3,2015-9-9,10:45:40
10000003,6,2016-1-10,8:14:16
