0,Inalador de pó seco,76
1,Monitor Holter,24
2,Otoscópio,82
3,Abaixador de língua,59
4,Esparadrapo,58
5,Escova dental ultrassônica,52
6,Abaixador de língua,57
7,Seringa,73
8,Seringa,94
9,Escova dental ultrassônica,74
10,Oftalmoscópio,26
11,Aparelho de anestesia,17
12,Oxigenação por membrana extracorpórea,46
13,Aparelho de anestesia,19
14,Purificador de ar,51
15,Purificador de ar,98
16,Oftalmoscópio,45
17,Oftalmoscópio,8
18,Esparadrapo,19
19,Seringa,31
20,Monitor Holter,25
21,Otoscópio,15
22,Oxigenação por membrana extracorpórea,13
23,Oxigenação por membrana extracorpórea,56
24,Lanceta de Franke,66
